iter	Passed	Remaining
0	241	72228
1	354	52843
2	404	40059
3	454	33598
4	568	33519
5	702	34398
6	710	29724
7	807	29458
8	809	26179
9	907	26319
10	915	24047
11	1017	24411
12	1131	24989
13	1233	25199
14	1237	23509
15	1352	24006
16	1391	23161
17	1490	23358
18	1600	23666
19	1711	23960
20	1806	23999
21	1892	23915
22	1993	24005
23	2091	24055
24	2194	24134
25	2309	24343
26	2418	24456
27	2530	24585
28	2654	24806
29	2777	24994
30	2892	25102
31	3019	25290
32	3027	24495
33	3042	23800
34	3164	23960
35	3280	24056
36	3413	24265
37	3538	24399
38	3669	24560
39	3678	23910
40	3799	24001
41	3927	24127
42	3973	23747
43	4104	23883
44	4121	23354
45	4168	23018
46	4302	23157
47	4423	23222
48	4533	23223
49	4648	23240
50	4742	23152
51	4850	23132
52	4964	23138
53	5083	23156
54	5198	23156
55	5312	23146
56	5433	23162
57	5539	23113
58	5655	23100
59	5761	23045
60	5865	22981
61	5966	22903
62	6074	22850
63	6180	22790
64	6294	22755
65	6407	22718
66	6521	22679
67	6528	22273
68	6542	21904
69	6646	21838
70	6654	21463
71	6764	21420
72	6871	21368
73	6874	20994
74	6996	20988
75	7110	20956
76	7220	20912
77	7234	20590
78	7332	20512
79	7445	20474
80	7447	20136
81	7565	20112
82	7676	20070
83	7796	20048
84	7803	19738
85	7805	19423
86	7850	19219
87	7970	19202
88	8089	19177
89	8211	19160
90	8326	19124
91	8374	18932
92	8486	18889
93	8593	18831
94	8697	18768
95	8818	18739
96	8937	18704
97	9042	18638
98	9150	18578
99	9157	18315
100	9272	18270
101	9388	18225
102	9499	18169
103	9513	17929
104	9527	17694
105	9632	17629
106	9751	17589
107	9759	17350
108	9874	17302
109	9981	17240
110	9985	17001
111	9998	16783
112	10039	16613
113	10157	16573
114	10267	16516
115	10373	16454
116	10492	16411
117	10535	16249
118	10647	16194
119	10661	15991
120	10775	15940
121	10872	15863
122	10980	15800
123	11095	15748
124	11202	15683
125	11308	15616
126	11425	15563
127	11533	15498
128	11619	15403
129	11627	15205
130	11737	15141
131	11850	15082
132	11890	14930
133	12009	14877
134	12130	14826
135	12232	14750
136	12340	14682
137	12449	14615
138	12561	14549
139	12674	14484
140	12787	14419
141	12795	14236
142	12797	14050
143	12906	13981
144	13031	13929
145	13038	13752
146	13143	13679
147	13252	13610
148	13355	13534
149	13455	13455
150	13563	13383
151	13576	13219
152	13695	13158
153	13804	13087
154	13931	13032
155	14046	12965
156	14166	12903
157	14292	12845
158	14408	12777
159	14518	12703
160	14629	12630
161	14740	12556
162	14857	12487
163	14861	12323
164	14979	12256
165	15106	12194
166	15224	12125
167	15354	12063
168	15478	11997
169	15598	11927
170	15707	11849
171	15812	11767
172	15925	11690
173	16047	11620
174	16165	11546
175	16289	11476
176	16411	11404
177	16530	11329
178	16649	11254
179	16782	11188
180	16799	11044
181	16914	10966
182	17040	10894
183	17170	10824
184	17291	10748
185	17410	10670
186	17530	10593
187	17646	10513
188	17777	10441
189	17904	10365
190	18026	10287
191	18145	10206
192	18268	10127
193	18397	10052
194	18521	9973
195	18638	9889
196	18772	9815
197	18890	9731
198	19018	9652
199	19026	9513
200	19035	9375
201	19158	9294
202	19283	9214
203	19414	9136
204	19538	9054
205	19659	8971
206	19780	8887
207	19904	8803
208	20031	8721
209	20162	8640
210	20289	8557
211	20409	8471
212	20528	8384
213	20650	8298
214	20776	8213
215	20899	8127
216	21017	8038
217	21138	7951
218	21258	7862
219	21382	7775
220	21505	7687
221	21633	7600
222	21752	7510
223	21870	7420
224	21994	7331
225	22118	7242
226	22242	7153
227	22371	7064
228	22498	6975
229	22618	6883
230	22736	6791
231	22864	6701
232	22991	6611
233	23111	6518
234	23234	6426
235	23359	6334
236	23481	6242
237	23607	6149
238	23728	6056
239	23848	5962
240	23971	5868
241	24085	5772
242	24210	5679
243	24337	5585
244	24461	5491
245	24581	5396
246	24712	5302
247	24837	5207
248	24966	5113
249	25079	5015
250	25205	4920
251	25321	4823
252	25435	4725
253	25571	4631
254	25694	4534
255	25812	4436
256	25933	4339
257	26065	4243
258	26188	4145
259	26313	4048
260	26432	3949
261	26448	3836
262	26581	3739
263	26711	3642
264	26840	3544
265	26962	3446
266	27084	3347
267	27205	3248
268	27328	3149
269	27454	3050
270	27579	2951
271	27667	2848
272	27782	2747
273	27895	2647
274	28009	2546
275	28124	2445
276	28243	2345
277	28358	2244
278	28471	2143
279	28576	2041
280	28695	1940
281	28804	1838
282	28914	1736
283	29018	1634
284	29128	1533
285	29228	1430
286	29334	1328
287	29348	1222
288	29454	1121
289	29568	1019
290	29680	917
291	29801	816
292	29911	714
293	30027	612
294	30137	510
295	30249	408
296	30351	306
297	30462	204
298	30587	102
299	30601	0
